power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
35.49 W, 561 MiB, 8 %, 2 %
35.49 W, 561 MiB, 8 %, 2 %
35.68 W, 561 MiB, 15 %, 5 %
35.78 W, 561 MiB, 15 %, 5 %
35.88 W, 561 MiB, 7 %, 2 %
36.07 W, 561 MiB, 16 %, 5 %
36.36 W, 561 MiB, 16 %, 5 %
37.05 W, 561 MiB, 7 %, 2 %
38.59 W, 561 MiB, 7 %, 2 %
42.37 W, 561 MiB, 17 %, 5 %
45.18 W, 561 MiB, 8 %, 3 %
53.99 W, 561 MiB, 8 %, 3 %
58.43 W, 691 MiB, 15 %, 5 %
35.49 W, 561 MiB, 8 %, 2 %
35.49 W, 561 MiB, 8 %, 2 %
35.49 W, 561 MiB, 16 %, 5 %
35.68 W, 561 MiB, 16 %, 5 %
35.59 W, 561 MiB, 7 %, 2 %
35.78 W, 561 MiB, 15 %, 5 %
35.98 W, 561 MiB, 15 %, 5 %
36.36 W, 561 MiB, 8 %, 2 %
37.33 W, 561 MiB, 8 %, 2 %
39.37 W, 561 MiB, 15 %, 5 %
44.21 W, 561 MiB, 9 %, 3 %
52.92 W, 561 MiB, 9 %, 3 %
57.46 W, 691 MiB, 16 %, 5 %
35.49 W, 561 MiB, 8 %, 2 %
35.49 W, 561 MiB, 8 %, 2 %
35.49 W, 561 MiB, 15 %, 5 %
35.59 W, 561 MiB, 15 %, 5 %
35.68 W, 561 MiB, 7 %, 2 %
35.78 W, 561 MiB, 15 %, 5 %
36.36 W, 561 MiB, 15 %, 5 %
37.05 W, 561 MiB, 8 %, 3 %
38.70 W, 561 MiB, 15 %, 5 %
42.95 W, 561 MiB, 15 %, 5 %
52.14 W, 561 MiB, 8 %, 2 %
52.44 W, 691 MiB, 8 %, 2 %
35.49 W, 561 MiB, 15 %, 5 %
35.49 W, 561 MiB, 8 %, 2 %
35.49 W, 561 MiB, 8 %, 2 %
35.69 W, 561 MiB, 15 %, 5 %
35.78 W, 561 MiB, 15 %, 5 %
36.17 W, 561 MiB, 7 %, 3 %
37.14 W, 561 MiB, 15 %, 5 %
38.88 W, 561 MiB, 15 %, 5 %
43.72 W, 561 MiB, 8 %, 2 %
56.19 W, 561 MiB, 13 %, 5 %
35.59 W, 561 MiB, 13 %, 5 %
35.49 W, 561 MiB, 10 %, 3 %
35.49 W, 561 MiB, 10 %, 3 %
35.68 W, 561 MiB, 8 %, 2 %
35.78 W, 561 MiB, 15 %, 5 %
36.07 W, 561 MiB, 15 %, 5 %
37.34 W, 561 MiB, 8 %, 3 %
40.23 W, 561 MiB, 8 %, 3 %
48.27 W, 561 MiB, 15 %, 5 %
60.65 W, 691 MiB, 8 %, 3 %
35.49 W, 561 MiB, 8 %, 3 %
35.39 W, 561 MiB, 15 %, 5 %
35.49 W, 561 MiB, 8 %, 3 %
35.68 W, 561 MiB, 8 %, 3 %
35.98 W, 561 MiB, 16 %, 5 %
37.05 W, 561 MiB, 16 %, 5 %
40.33 W, 561 MiB, 8 %, 3 %
48.75 W, 561 MiB, 8 %, 2 %
59.78 W, 691 MiB, 8 %, 2 %
35.39 W, 561 MiB, 16 %, 5 %
35.39 W, 561 MiB, 16 %, 5 %
35.49 W, 561 MiB, 8 %, 3 %
35.78 W, 561 MiB, 15 %, 5 %
36.36 W, 561 MiB, 15 %, 5 %
38.12 W, 561 MiB, 8 %, 3 %
43.43 W, 561 MiB, 15 %, 5 %
57.65 W, 561 MiB, 15 %, 5 %
35.49 W, 561 MiB, 8 %, 3 %
35.59 W, 561 MiB, 8 %, 3 %
35.49 W, 561 MiB, 8 %, 2 %
35.78 W, 561 MiB, 17 %, 5 %
36.66 W, 561 MiB, 17 %, 5 %
38.79 W, 561 MiB, 8 %, 3 %
46.25 W, 561 MiB, 8 %, 3 %
61.21 W, 691 MiB, 15 %, 5 %
35.39 W, 561 MiB, 8 %, 3 %
35.49 W, 561 MiB, 8 %, 3 %
35.59 W, 561 MiB, 10 %, 4 %
35.88 W, 561 MiB, 15 %, 4 %
37.43 W, 561 MiB, 15 %, 4 %
42.37 W, 561 MiB, 8 %, 3 %
58.90 W, 691 MiB, 8 %, 3 %
35.39 W, 561 MiB, 17 %, 5 %
35.49 W, 561 MiB, 8 %, 3 %
35.68 W, 561 MiB, 8 %, 3 %
35.88 W, 561 MiB, 9 %, 3 %
36.95 W, 561 MiB, 9 %, 3 %
41.01 W, 561 MiB, 15 %, 5 %
54.67 W, 561 MiB, 8 %, 3 %
35.49 W, 561 MiB, 8 %, 3 %
35.49 W, 561 MiB, 16 %, 5 %
35.49 W, 561 MiB, 8 %, 3 %
35.88 W, 561 MiB, 8 %, 3 %
36.85 W, 561 MiB, 8 %, 3 %
40.62 W, 561 MiB, 8 %, 3 %
55.91 W, 561 MiB, 15 %, 5 %
35.39 W, 561 MiB, 8 %, 3 %
35.49 W, 561 MiB, 8 %, 3 %
35.68 W, 561 MiB, 16 %, 5 %
35.98 W, 561 MiB, 16 %, 5 %
37.24 W, 561 MiB, 8 %, 3 %
43.14 W, 561 MiB, 9 %, 3 %
63.44 W, 691 MiB, 9 %, 3 %
35.49 W, 561 MiB, 16 %, 5 %
35.49 W, 561 MiB, 8 %, 3 %
35.68 W, 561 MiB, 8 %, 3 %
36.27 W, 561 MiB, 11 %, 4 %
38.02 W, 561 MiB, 11 %, 4 %
47.20 W, 561 MiB, 13 %, 4 %
35.49 W, 561 MiB, 8 %, 3 %
35.39 W, 561 MiB, 8 %, 3 %
35.59 W, 561 MiB, 16 %, 5 %
35.88 W, 561 MiB, 8 %, 3 %
36.95 W, 561 MiB, 8 %, 3 %
42.56 W, 561 MiB, 8 %, 3 %
62.96 W, 691 MiB, 8 %, 3 %
35.49 W, 561 MiB, 16 %, 5 %
35.49 W, 561 MiB, 8 %, 3 %
35.78 W, 561 MiB, 8 %, 3 %
36.85 W, 561 MiB, 8 %, 3 %
41.30 W, 561 MiB, 8 %, 3 %
62.98 W, 691 MiB, 17 %, 5 %
35.39 W, 561 MiB, 8 %, 3 %
35.49 W, 561 MiB, 8 %, 3 %
35.78 W, 561 MiB, 9 %, 3 %
37.04 W, 561 MiB, 16 %, 5 %
43.82 W, 561 MiB, 16 %, 5 %
35.49 W, 561 MiB, 12 %, 3 %
35.39 W, 561 MiB, 12 %, 3 %
35.68 W, 561 MiB, 8 %, 3 %
35.98 W, 561 MiB, 18 %, 5 %
39.07 W, 561 MiB, 18 %, 5 %
